TransactionDate,OrginZip,DestZip,Weight,WeightUnit,ServiceDesc
9/30/2024,43125,27545,0.42,L,Mail Innovations
9/30/2024,43125,48071,0.78,L,Mail Innovations
9/30/2024,43125,43235,0.43,L,Mail Innovations
9/30/2024,43125,61201,0.42,L,Mail Innovations
9/30/2024,43125,42101,0.43,L,Mail Innovations
9/30/2024,43125,54303,0.86,L,Mail Innovations
9/30/2024,43125,68132,0.55,L,Mail Innovations
9/30/2024,43125,48198,0.61,L,Mail Innovations
9/30/2024,43125,94305,0.85,L,Mail Innovations
10/2/2024,43125,94577,0.85,L,Mail Innovations
10/2/2024,43125,72450,0.12,L,Mail Innovations
10/2/2024,43125,14009,0.1,L,Mail Innovations
10/2/2024,43125,83847,0.1,L,Mail Innovations
10/2/2024,43125,2134,0.1,L,Mail Innovations
10/2/2024,43125,37215,0.12,L,Mail Innovations
10/2/2024,43125,97401,0.1,L,Mail Innovations
10/2/2024,43125,55426,0.1,L,Mail Innovations
10/2/2024,43125,80538,0.1,L,Mail Innovations
10/2/2024,43125,48079,0.1,L,Mail Innovations
10/2/2024,43125,95070,0.1,L,Mail Innovations
10/2/2024,43125,71105,0.1,L,Mail Innovations
10/2/2024,43125,90065,0.1,L,Mail Innovations
10/2/2024,43125,38834,0.1,L,Mail Innovations
10/2/2024,43125,27301,0.1,L,Mail Innovations
10/2/2024,43125,93906,0.1,L,Mail Innovations
10/2/2024,43125,72372,0.1,L,Mail Innovations
10/2/2024,43125,94027,0.1,L,Mail Innovations
10/2/2024,43125,97138,0.1,L,Mail Innovations
10/2/2024,43125,92780,0.1,L,Mail Innovations
10/2/2024,43125,47203,0.1,L,Mail Innovations
10/2/2024,43125,46033,0.1,L,Mail Innovations
10/2/2024,43125,7036,0.1,L,Mail Innovations
10/2/2024,43125,78757,0.1,L,Mail Innovations
10/2/2024,43125,75042,0.12,L,Mail Innovations
10/2/2024,43125,8734,0.56,L,Mail Innovations
10/2/2024,43125,6093,0.48,L,Mail Innovations
10/2/2024,43125,14580,0.54,L,Mail Innovations
10/2/2024,43125,84067,0.62,L,Mail Innovations
10/2/2024,43125,3755,0.48,L,Mail Innovations
10/2/2024,43125,54534,0.5,L,Mail Innovations
10/2/2024,43125,10707,0.6,L,Mail Innovations
10/2/2024,43125,33157,0.48,L,Mail Innovations
10/2/2024,43125,44109,0.44,L,Mail Innovations
10/2/2024,43125,94609,0.44,L,Mail Innovations
10/2/2024,43125,75785,0.44,L,Mail Innovations
10/2/2024,43125,31401,0.82,L,Mail Innovations
10/2/2024,43125,41018,0.62,L,Mail Innovations
10/2/2024,43125,60610,0.62,L,Mail Innovations
10/2/2024,43125,66227,0.62,L,Mail Innovations
10/2/2024,43125,5401,0.66,L,Mail Innovations
10/2/2024,43125,32720,0.86,L,Mail Innovations
10/2/2024,43125,29601,0.98,L,Mail Innovations
10/2/2024,43125,10025,0.9,L,Mail Innovations
10/2/2024,43125,82718,0.72,L,Mail Innovations
10/2/2024,43125,60126,0.62,L,Mail Innovations
10/2/2024,43125,26508,0.86,L,Mail Innovations
10/2/2024,43125,29038,0.86,L,Mail Innovations
10/2/2024,43125,11222,0.56,L,Mail Innovations
10/2/2024,43125,39208,0.62,L,Mail Innovations
10/2/2024,43125,95821,0.6,L,Mail Innovations
10/2/2024,43125,70420,0.78,L,Mail Innovations
10/2/2024,43125,48109,0.74,L,Mail Innovations
10/2/2024,43125,97202,0.96,L,Mail Innovations
10/2/2024,43125,2135,0.68,L,Mail Innovations
10/2/2024,43125,32065,0.54,L,Mail Innovations
10/2/2024,43125,16506,0.8,L,Mail Innovations
10/2/2024,43125,79912,0.86,L,Mail Innovations
10/2/2024,43125,66049,0.38,L,Mail Innovations
10/2/2024,43125,32073,0.86,L,Mail Innovations
10/2/2024,43125,32606,0.58,L,Mail Innovations
10/2/2024,43125,19103,0.54,L,Mail Innovations
10/2/2024,43125,2116,0.74,L,Mail Innovations
10/2/2024,43125,12526,0.7,L,Mail Innovations
10/2/2024,43125,80023,0.98,L,Mail Innovations
10/2/2024,43125,91350,0.58,L,Mail Innovations
10/2/2024,43125,45895,0.6,L,Mail Innovations
10/2/2024,43125,20910,0.44,L,Mail Innovations
10/2/2024,43125,55414,0.86,L,Mail Innovations
10/2/2024,43125,7208,0.56,L,Mail Innovations
10/2/2024,43125,72712,0.9,L,Mail Innovations
10/2/2024,43125,3561,0.74,L,Mail Innovations
10/2/2024,43125,83440,0.44,L,Mail Innovations
10/2/2024,43125,65270,0.6,L,Mail Innovations
10/2/2024,43125,11217,0.5,L,Mail Innovations
10/2/2024,43125,49534,0.86,L,Mail Innovations
10/2/2024,43125,46342,0.54,L,Mail Innovations
10/2/2024,43125,26206,0.5,L,Mail Innovations
10/3/2024,43125,44224,0.1,L,Mail Innovations
10/3/2024,43125,46032,0.7,L,Mail Innovations
10/4/2024,43125,56054,0.09,L,Mail Innovations
10/4/2024,43125,80018,0.58,L,Mail Innovations
10/4/2024,43125,21154,0.6,L,Mail Innovations
10/4/2024,43125,60565,0.5,L,Mail Innovations
10/4/2024,43125,14086,0.42,L,Mail Innovations
10/4/2024,43125,48105,0.56,L,Mail Innovations
10/4/2024,43125,8205,0.5,L,Mail Innovations
10/4/2024,43125,2906,0.42,L,Mail Innovations
10/4/2024,43125,35111,0.82,L,Mail Innovations
10/4/2024,43125,36561,0.84,L,Mail Innovations
10/4/2024,43125,38023,0.78,L,Mail Innovations
10/4/2024,43125,77802,0.42,L,Mail Innovations
10/4/2024,43125,95125,0.86,L,Mail Innovations
10/4/2024,43125,32779,0.56,L,Mail Innovations
10/4/2024,43125,50322,0.72,L,Mail Innovations
10/4/2024,43125,78751,0.42,L,Mail Innovations
10/4/2024,43125,89011,0.82,L,Mail Innovations
10/4/2024,43125,3110,0.98,L,Mail Innovations
10/4/2024,43125,30033,0.56,L,Mail Innovations
10/4/2024,43125,28027,0.84,L,Mail Innovations
10/4/2024,43125,48188,0.98,L,Mail Innovations
10/4/2024,43125,80018,0.66,L,Mail Innovations
10/4/2024,43125,55401,0.52,L,Mail Innovations
10/4/2024,43125,16652,0.66,L,Mail Innovations
10/4/2024,43125,63376,0.08,L,Mail Innovations
10/4/2024,43125,2118,0.08,L,Mail Innovations
10/4/2024,43125,91723,0.08,L,Mail Innovations
10/4/2024,43125,40513,0.08,L,Mail Innovations
10/4/2024,43125,94564,0.08,L,Mail Innovations
10/4/2024,43125,90293,0.08,L,Mail Innovations
