BOL Number,Overlabel Reason,Customer Reference,Overlabeled DC,Receive Date,DHL Tracking Number,Customer Confirmation Number,Delivery Confirmation Number,Recipient Name
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604394179,"08/21/2025 09:06:40 pm",'1102110886130625,'420480349261290339737604394179,'9361289936500477649369,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393448,"08/21/2025 09:06:40 pm",'1102110886129425,'420928819261290339737604393448,'9361289936500477649246,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604395701,"08/21/2025 09:06:40 pm",'1102110886217025,'420826049261290339737604395701,'9361289936500477648003,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393561,"08/21/2025 09:06:40 pm",'1102110886133825,'420112169261290339737604393561,'9361289936500477649680,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604395480,"08/21/2025 09:06:40 pm",'1102110886133725,'420333329261290339737604395480,'9361289936500477649673,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393943,"08/21/2025 09:06:40 pm",'1102110886134125,'420117849261290339737604393943,'9361289936500477649727,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604392472,"08/21/2025 09:06:40 pm",'1102110886133925,'420945689261290339737604392472,'9361289936500477649697,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604394766,"08/21/2025 09:06:40 pm",'1102110886133325,'420841119261290339737604394766,'9361289936500477649635,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393318,"08/21/2025 09:06:40 pm",'1102110886134525,'420347879261290339737604393318,'9361289936500477649765,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393240,"08/21/2025 09:06:40 pm",'1102110886134325,'420601749261290339737604393240,'9361289936500477649741,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393165,"08/21/2025 09:06:40 pm",'1102110886134425,'420900679261290339737604393165,'9361289936500477649758,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393820,"08/21/2025 09:06:40 pm",'1102110886218125,'420297109261290339737604393820,'9361289936500477648119,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604392960,"08/21/2025 09:06:40 pm",'1102110886135325,'420105029261290339737604392960,'9361289936500477649840,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393592,"08/21/2025 09:06:40 pm",'1102110886135225,'420773759261290339737604393592,'9361289936500477649833,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604394469,"08/21/2025 09:06:40 pm",'1102110886135025,'420112359261290339737604394469,'9361289936500477649819,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604391741,"08/21/2025 09:06:40 pm",'1102110886135125,'420193809261290339737604391741,'9361289936500477649826,
